Generación,Mejor Fitness,Peor Fitness,Fitness Promedio
0,0,0,0.0
1,0,0,0.0
2,22,0,2.75
3,0,0,0.0
4,11,0,1.05
5,0,0,0.0
6,22,0,2.2
7,22,0,2.1
8,11,0,0.55
9,55,0,3.25
10,11,0,1.05
11,10,0,1.0
12,11,0,1.6
13,1,0,0.05
14,13,0,1.15
15,10,0,1.55
16,88,0,4.4
17,22,0,2.5
18,10,0,0.5
19,0,0,0.0
20,10,0,0.5
21,22,0,2.1
22,10,0,1.55
23,11,0,1.55
24,11,0,0.6
25,11,0,1.05
26,0,0,0.0
27,0,0,0.0
28,10,0,0.5
29,22,0,1.65
30,0,0,0.0
31,12,0,1.6
32,12,0,1.1
33,12,0,2.2
34,55,0,3.95
35,12,0,1.65
36,10,0,1.05
37,11,0,1.65
38,10,0,1.65
39,1,0,0.05
40,11,0,0.55
41,11,0,1.65
42,14,0,2.2
43,2,0,0.1
44,22,0,1.1
45,10,0,0.5
46,10,0,0.5
47,11,0,1.05
48,11,0,1.05
49,0,0,0.0
50,55,0,2.75
51,55,0,2.8
52,0,0,0.0
53,0,0,0.0
54,11,0,1.1
55,0,0,0.0
56,0,0,0.0
57,33,0,2.2
58,0,0,0.0
59,1,0,0.05
60,10,0,0.55
61,44,0,2.3
62,0,0,0.0
63,10,0,0.5
64,0,0,0.0
65,12,0,1.1
66,10,0,1.5
67,11,0,0.55
68,0,0,0.0
69,1,0,0.05
70,10,0,0.55
71,44,0,3.2
72,11,0,0.55
73,11,0,0.55
74,22,0,2.15
75,12,0,1.15
76,22,0,1.1
77,0,0,0.0
78,11,0,0.55
79,0,0,0.0
80,11,0,0.55
81,110,0,5.5
82,0,0,0.0
83,0,0,0.0
84,0,0,0.0
85,0,0,0.0
86,11,0,1.2
87,0,0,0.0
88,10,0,0.5
89,55,0,2.75
90,0,0,0.0
91,0,0,0.0
92,0,0,0.0
93,0,0,0.0
94,0,0,0.0
95,0,0,0.0
96,0,0,0.0
97,0,0,0.0
98,0,0,0.0
99,0,0,0.0
